Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With wage or salary income,Margin of Error; Total: - With wage or salary income,Estimate; Total: - No wage or salary income,Margin of Error; Total: - No wage or salary income
Allegheny Center,1,870,93,635,91,235,59
Allegheny West,2,146,36,119,35,27,20
Allentown,3,1069,132.4575404,736,140.3353127,333,97.49358953
Arlington,4,701,104.4653052,570,106.2732328,131,45.19955752
Arlington Heights,5,144,59,99,60,45,30
Banksville,6,1946,229.2225992,1564,216.5848564,382,134.9888884
Bedford Dwellings,7,723,53,348,71,375,75
Beechview,8,3567,258.0271304,2719,255.4760263,848,149.2079086
Beltzhoover,9,848,156.0576816,556,128.1522532,292,111.3328343
Bloomfield,10,4571,205.4945255,3724,206.4582282,847,126.9606238
Bluff,11,240,47,193,46.87216658,47,27.01851217
Bon Air,12,372,71,295,72,77,37
Brighton Heights,13,3222,192.2342321,2387,187.4566617,835,131.6206671
Brookline,14,5843,327.6949801,4545,329.6225114,1298,185.2970588
California-Kirkbride,15,333,38,206,39,127,42
Carrick,16,4301,277.61304,3065,250.3277851,1236,186.5502613
Central Business District,17,1968,221.438479,1501,200.761052,467,130.751673
Central Lawrenceville,18,2338,171.5721423,1721,161.4249051,617,117.6435294
Central Northside,19,1479,113.9298029,1066,107.6057619,413,72.01388755
Central Oakland,20,1903,157.3975858,1648,158.3477186,255,90.29396436
Chartiers City,21,271,60,186,63,85,47
Chateau,22,3,3,0,10,3,3
Crafton Heights,23,1677,126.7951103,1188,122.3192544,489,86.09878048
Crawford-Roberts,24,1125,138.5929291,569,115.1086443,556,125.3195914
Duquesne Heights,25,1170,125.2078272,902,111.1980216,268,66.57326791
East Allegheny,26,1302,155.0516043,836,134.1827113,466,119.40268
East Carnegie,27,264,39,201,41,63,24
East Hills,28,1325,165.5083079,677,150.0533239,648,146.116392
East Liberty,29,2902,249.2488716,1910,228.5913384,992,173.571311
Elliott,30,953,120.3702621,635,97.45255256,318,91.74420963
Esplen,31,142,48,123,49,19,19
Fairywood,32,428,81,428,81,0,10
Fineview,33,624,108.9311709,407,101.1385189,217,70.9365914
Friendship,34,1074,122.0655562,983,133.454112,91,57.70615219
Garfield,35,1571,116.9144987,991,109.3709285,580,100.3593543
Glen Hazel,36,241,80,70,46,171,77
Greenfield,37,3438,251.7081643,2620,265.2998304,818,160.4026184
Hays,38,185,43,133,40,52,33
